Zone,Borough,latitude,longitude,heat_property_val
Kips Bay,Manhattan,-73.97557701086284,40.74313358341563,363
East Village,Manhattan,-73.96695502926265,40.71821344369764,144
Upper East Side North/Carnegie Hill/Yorkville,Manhattan,-73.94987142544738,40.77759904946009,307
Manhattan Valley,Manhattan,-73.96735438183946,40.79922339403563,178
East Harlem South,Manhattan,-73.94484966411764,40.790128698381416,522
Flatbush/Ditmas Park,Brooklyn,-73.96156062018008,40.63923021181982,16
Rego Park,Queens,-73.86353939569268,40.72650249970593,6
Upper East Side South/East Midtown/Turtle Bay/United Nations,Manhattan,-73.96787174487505,40.75312912596506,265
Prospect-Lefferts Gardens,Brooklyn,-73.94593711355529,40.65971804683574,22
TriBeCa/Civic Center,Manhattan,-74.00859458305793,40.717772119878134,59
Upper West Side North/Lincoln Square,Manhattan,-73.98639789607532,40.77523864141913,379
East Concourse/Concourse Village,Bronx,-73.92084206237486,40.82720633721194,22
Lenox Hill West,Manhattan,-73.95765978316273,40.74839899292225,297
East Chelsea/Hudson Yards,Manhattan,-74.00385536953506,40.75005809478554,165
Bushwick South (East)/The Evergreens Cemetery,Brooklyn,-73.9072806743975,40.68787973931529,13
Midtown Center,Manhattan,-73.99025470368338,40.7442278375399,98
NA,Unknown,-73.99562,40.54999,11
Manhattanville,Manhattan,-73.9549158432786,40.8191308140898,49
Clinton West/East Harlem (South),Manhattan,-73.9476402244803,40.79731083761565,69
Boerum Hill,Brooklyn,-73.98610052266547,40.69469776397623,21
Yorkville West,Manhattan,-73.93856857679717,40.7804584723767,373
East Harlem North,Manhattan,-73.93850580518557,40.80205928562985,353
Penn Station/Madison Sqare West/Midtown South,Manhattan,-73.99025470368338,40.7442278375399,218
Chinatown,Manhattan,-73.99332959240294,40.712812145744266,5
Midtown South,Manhattan,-73.99025470368338,40.7442278375399,82
Elmhurst,Queens,-73.88214667116361,40.73973071063485,24
Central Harlem North,Manhattan,-73.93850580518557,40.80205928562985,208
United Nations/Turtle Bay South,Manhattan,-73.96731812277083,40.75038026037943,122
Kingsbridge Heights,Bronx,-73.89709297985544,40.8790405950084,15
Gramercy,Manhattan,-73.98374963215493,40.73713582834189,220
Hamilton Heights,Manhattan,-73.94889435458364,40.826868848570456,80
Times Sq/Theatre District,Manhattan,-73.98154135118445,40.75758212240067,101
Sunnyside,Queens,-73.92552517841314,40.74648016204618,28
College Point,Queens,-73.83925660351937,40.765703622066596,1
Lincoln Square East,Manhattan,-73.98639789607532,40.77523864141913,272
Washington Heights South,Manhattan,-73.94136969572799,40.84187990924376,76
Morningside Heights,Manhattan,-73.96154912438098,40.809297201094886,140
Washington Heights North,Manhattan,-73.93472478034876,40.856106426761286,15
Hunts Point,Bronx,-73.8866074211074,40.809880818565055,8
Forest Hills,Queens,-73.8477976112127,40.72185340119573,19
Lenox Hill East,Manhattan,-73.95765978316273,40.74839899292225,382
Van Nest/Morris Park,Bronx,-73.84933760712705,40.85241116451729,17
Clinton East/East Harlem (North),Manhattan,-73.9400329918806,40.81081802492453,278
Williamsbridge/Olinville,Bronx,-73.8595410826934,40.881168921296684,15
Stuy Town/Peter Cooper Village,Manhattan,-73.9767020118098,40.7314951536173,26
Bedford,Brooklyn,-73.94195070585454,40.68708271672516,14
Park Slope,Brooklyn,-73.97957587697884,40.67220807084388,14
Sutton Place/Turtle Bay North,Manhattan,-73.96842536697929,40.75587799155069,178
Upper West Side South/Hell’s Kitchen,Manhattan,-73.99598470346939,40.76595255781474,282
Flushing,Queens,-73.83161009033616,40.759420258472865,10
Garment District/Midtown Center,Manhattan,-73.99025470368338,40.7442278375399,166
Midtown North/Times Square,Manhattan,-73.98154135118445,40.75758212240067,87
Norwood,Bronx,-73.87914833766986,40.87727467516326,13
Bronxdale/West Farms,Bronx,-73.87643895835731,40.842168104879384,4
Lower East Side,Manhattan,-73.98175175185241,40.705805497450044,23
East Elmhurst,Queens,-73.87129232043404,40.7634347724999,3
Bloomingdale/Upper West Side North,Manhattan,-73.97738698539054,40.78738214537905,56
Flushing Meadows-Corona Park/Mount Hebron/Cedar Grove Cemeteries,Queens,-73.83673038630414,40.739745351483286,2
Murray Hill,Manhattan,-73.89317664730191,40.7560337944926,193
West Chelsea/Hudson Yards,Manhattan,-74.00385536953506,40.75005809478554,27
NV,Unknown,-73.99562,40.54999,79
Woodside/Calvary/Mount Zion Cemeteries,Queens,-73.90710036005157,40.74476623878846,13
Central Harlem (South),Manhattan,-73.94484966411764,40.790128698381416,248
Flatiron,Manhattan,-73.99025470368338,40.7442278375399,168
Mott Haven/Port Morris,Bronx,-73.91803532609231,40.80815461123826,26
Jackson Heights,Queens,-73.88489828291021,40.75514668156584,18
Lincoln Square West,Manhattan,-73.98639789607532,40.77523864141913,145
Stuyvesant Heights,Brooklyn,-73.95193783454589,40.68825839477922,11
Randalls Island,Manhattan,-73.92524914714092,40.79084197352329,2
Crown Heights North,Brooklyn,-73.94272336814319,40.67394740325123,25
Little Italy/NoLiTa,Manhattan,-74.00403580980367,40.72432088318132,16
West Village,Manhattan,-74.00791264867112,40.73534643458651,92
Brownsville,Brooklyn,-73.9108179354504,40.663846220663196,15
Queensbridge/Ravenswood,Queens,-73.93644375633099,40.758405399350465,11
Yorkville East,Manhattan,-73.93856857679717,40.7804584723767,179
West Farms/Bronx River,Bronx,-73.87426419883079,40.83564482214449,9
Baisley Park,Queens,-73.78857003298727,40.6803798938023,9
Clinton Hill,Brooklyn,-73.96452416929192,40.68898259421262,18
Springfield Gardens South,Queens,-73.76871727259702,40.66191569434523,11
Cambria Heights,Queens,-73.73753928355256,40.694587215132856,2
Flatlands,Brooklyn,-73.9329016936351,40.6262187740897,12
Fordham South,Bronx,-73.89892903537171,40.85870858595671,5
Canarsie,Brooklyn,-73.88845687138027,40.638567887951965,11
Queens Village,Queens,-73.74251148944006,40.71641943271577,6
East New York (North)/Pennsylvania Avenue,Brooklyn,-73.88855595160125,40.67269354456475,8
Longwood,Bronx,-73.89606501077152,40.821166341788626,5
Richmond Hill,Queens,-73.82836048409195,40.694423301025495,23
Alphabet City/East Village,Manhattan,-73.96695502926265,40.71821344369764,14
Union Sqare,Manhattan,-73.99025470368338,40.7442278375399,135
Hollis,Queens,-73.7636461505032,40.7116394118987,3
